ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
1308,龙嫂工作室,shi13149319,1107177,male,生活,5,38450,23230,5.7w,502.20 ,5.02 ,4.83,109,20,3天13时50分59秒
1309,爱唯依服装（招）,Libaby1216,372428,female,穿搭,4,102890,2255,8.0w,502.00 ,5.02 ,4.98,42,1633,5天15时18分55秒
1310,凯文团队-品牌集合茶,187069115,34297,male,生活,5,20351,906,2.2w,501.30 ,5.01 ,4.83,24,290,6天19时5分31秒
1311,陈紫函,624173112,2746878,female,明星,3,393910,12307,5371,501.10 ,5.01 ,4.91,2,113,10时50分22秒
1312,腕表参某长,v13161025555,1788248,male,种草,2,16618,1134,545,500.50 ,5.01 ,4.90,100,435,16天15时55分17秒
1313,玉出云南,YCYN16888,70762,female,知识资讯,23,9013,875,1012,500.10 ,5.00 ,4.93,114,8,23天2时43分45秒
1314,杭州静雨服饰,1697818650,151516,female,穿搭,4,91399,1812,1.1w,199.60 ,2.00 ,4.94,14,290,2天9时7分14秒
1315,悦享服饰工厂店（下午2点30直播）,diyang1932,81323,male,穿搭,4,36655,1688,3.3w,199.60 ,2.00 ,4.72,28,375,2天18时16分21秒
1316,娜姐服装批发（下午两点直播）,dyndmveu7ya9,167317,female,穿搭,4,86133,1019,1.7w,499.50 ,5.00 ,4.45,30,21,11天20时11分39秒
1317,蒂凡娜饰品,wh520.123,2583237,female,时尚,0,1965587,3543,45.4w,499.30 ,4.99 ,4.99,11,209,27天18时34分11秒
1318,亚聚大牌female装,GDDZ7777,176192,male,穿搭,4,51689,1297,4.8w,498.90 ,4.99 ,4.93,41,3459,5天22时35分37秒
1319,菲菲female装2号店【早6点，下午1:30播】,diaohuijua1,540395,female,穿搭,4,63039,1784,12.6w,498.50 ,4.99 ,4.72,55,1032,7天11时15分53秒
1320,陶瓷百晓生,JDlaocao,30043,female,种草,2,7361,399,8452,498.50 ,4.99 ,4.88,63,6051,8天7时15分31秒
1321,貂艺,FY56156,169582,male,穿搭,4,14072,161,1210,497.90 ,4.98 ,4.92,22,293,3天21时32分22秒
1322,浿大大定制,peidada...,121076,female,,31,132467,2344,11.4w,497.20 ,4.97 ,4.80,26,215,5天5时31分35秒
1323,珍珍家的小仙female（新款筹备中）,zz191011,818086,female,穿搭,4,116132,2300,3.7w,196.90 ,1.97 ,4.90,23,61,3天17时6分38秒
1324,嫂子百货商行分享掉称,12guoyajin,232012,female,生活,5,35479,5328,7.3w,496.60 ,4.97 ,4.75,91,49,9天9时14分48秒
1325,官栈花胶,Guanzhan123,72713,female,美食,10,14060,3326,6935,496.40 ,4.96 ,4.74,43,22,17天9时33分24秒
1326,快学英语Emily老师（直播教学）,Emily0000,6887950,female,教育,8,41231,1765,2.2w,496.20 ,4.96 ,4.76,39,9,4天8时23分52秒
1327,特步儿童,Xtepkids,351268,female,穿搭,4,91288,3509,7.5w,196.20 ,1.96 ,4.73,37,155,23天1分54秒
1328,符老板珠宝严选,fyc16888s,15694,female,时尚,0,22188,3454,1.4w,495.50 ,4.96 ,4.79,20,1370,2天22时16分
1329,卡铂雅珠宝首饰,597407191,411367,male,时尚,0,107978,1209,9.7w,494.90 ,4.95 ,4.89,37,114,24天15时41分19秒
1330,雪花秀Sulwhasoo,Sulwhasoo__,143417,female,美妆,6,52157,535,8329,191.60 ,1.92 ,1.86,34,29,16天8时11分11秒
1331,贺局长说伊犁,hjl171717,3362958,female,旅行,25,633963,16805,6.7w,494.60 ,4.95 ,4.66,10,45,1天10时18分27秒
1332,青青female装商行,lz6127607,305148,female,生活,5,135112,781,4.8w,494.50 ,4.95 ,4.83,30,74,22天4时32分2秒
1333,艺博优雅形体礼仪,yibo666999,3337377,female,体育,18,111697,15096,8.1w,494.00 ,4.94 ,4.83,24,77,5天23时14分52秒
1334,旗袍年华姑苏,qipaonianhua,369552,female,生活,5,201040,1549,6.8w,493.50 ,4.94 ,4.69,27,76,16天20时50分45秒
1335,小田姑娘的菌菇合作社,yangyy520321,283518,female,生活,5,83772,1955,16.7w,492.90 ,4.93 ,4.98,29,47,14天8时30分32秒
1336,怡铭珠宝（6号上午十点准时开播）,YMZB668899,40827,female,,31,39151,1117,2.4w,491.80 ,4.92 ,4.73,24,4878,7天17时20分
1337,我们旅行吧,0860ka2,181212,female,旅行,25,23926,511,1893,491.80 ,4.92 ,4.61,26,23,11天9时24分33秒
1338,361°运动官方店,361bsw,163772,female,穿搭,4,143025,3545,4.9w,491.70 ,4.92 ,4.43,45,84,26天2时12分18秒
1339,小机灵原创服装店,SuperGoddess,172994,female,网红美女,7,139659,6687,5.7w,491.70 ,4.92 ,4.71,26,126,2天10时37分53秒
1340,kocotree官方旗舰店,kocotree2021,527586,female,穿搭,4,80230,3311,13.5w,491.30 ,4.91 ,5.00,47,140,7天19时23分45秒
1341,四季青服装市场涵玖玥服装,aa66bb99,477519,female,穿搭,4,75998,2613,13.0w,491.30 ,4.91 ,4.53,82,87,16天2时33分31秒
1342,衣品乐·微胖MM理想衣橱,yipinle01,319628,female,穿搭,4,84735,2702,3.7w,491.00 ,4.91 ,4.99,35,65,5天12时26分56秒
1343,夏老师珠宝,MCFC15393980165,131712,male,时尚,0,53131,3494,6.1w,490.80 ,4.91 ,4.93,10,1091,1天14时32分33秒
1344,深圳市罗湖区恒钻之星珠宝商行,KLME2469,38210,female,,31,30901,2967,5907,490.30 ,4.90 ,4.99,54,1328,4天15时45分19秒
1345,广州瓯凯服饰,888858ok,527974,male,穿搭,4,111610,3616,5.7w,490.00 ,2.00 ,4.42,29,33,5天15时52分2秒
1316,苏遇旗袍,dy8qzn61v1sf,1260511,female,穿搭,4,72007,3506,4.7w,489.90 ,4.90 ,4.79,75,167,26天18时22分29秒
1347,左耳钉猴叔说宝石,hou15520,377923,male,时尚,0,23496,1188,1215,489.00 ,4.89 ,4.80,34,1332,6天7时53分26秒
1348,妃鱼精选,feiyu885588,57905,female,时尚,0,15624,464,1971,488.50 ,4.89 ,4.58,39,4143,6天20时1分
1349,大罗说鞋,daluoshuoxie,77331,female,,31,252923,6991,4.4w,488.20 ,4.88 ,4.79,9,1317,2天2时52分48秒
1350,深素生活家纺,ssjf2121.,63309,female,,31,23965,852,3.3w,488.10 ,4.88 ,4.99,27,12,5天20时3秒
1351,布莱希特别闹,cdk80112314,796887,male,汽车,12,32413,2881,410,487.50 ,4.88 ,4.71,44,426,4天6时9分24秒
1352,73Hours,626997271,156518,female,穿搭,4,25650,373,7119,487.00 ,4.87 ,1.86,36,110,10天7时55分28秒
1353,（小乖乖护肤）妍桐电子商务,dy9eakwvawwt,329706,female,生活,5,42716,5441,3.6w,486.90 ,4.87 ,4.62,21,14,2天1时49分36秒
1354,缅甸现场,dynad48gnat0,167970,female,情感,9,55433,1717,996,486.70 ,4.87 ,4.80,56,2,24天43分57秒
1355,娜娜优选,dy8555655,251131,female,种草,2,55240,1356,7.0w,186.10 ,1.86 ,1.69,37,11,23天10时32分21秒
1356,裕尧严选,yinmeng02,317197,female,母婴育儿,15,113846,12644,56.8w,486.40 ,4.86 ,4.96,12,302,1天13时42分57秒
1357,二表嫂美食,Sy5112,695014,female,美食,10,113333,4262,2.7w,486.10 ,4.86 ,5.00,56,32,6天21时15分46秒
1358,以凡时尚female包,yifanxiangbao2,115300,female,穿搭,4,103543,8248,8.3w,485.90 ,4.86 ,1.68,40,1574,1天3时32分36秒
1359,非樊魅力female装,AC1975,47250,female,,31,34926,1648,1.5w,485.90 ,4.86 ,4.98,12,149,1天8时21分16秒
1360,WIS官方旗舰店,793108908,1404447,female,美妆,6,16173,537,4.0w,485.80 ,4.86 ,1.26,43,52,23天9时53分51秒
1361,大莉莉精选,yingshan0200,238537,female,穿搭,4,243484,18992,16.0w,485.80 ,4.86 ,4.97,37,84,3天11时38分4秒
1362,86589836190,86589836190,16615,female,时尚,0,50177,9735,1616,485.50 ,4.86 ,4.62,4,13,7时8分49秒
1363,谢姐时尚穿搭,xgxj88888,275159,female,穿搭,4,42717,2923,8.7w,485.30 ,4.86 ,5.00,27,139,3天3时16分17秒
1361,伟姐优选,YALUJIE666,673316,female,种草,2,114577,4243,20.2w,485.00 ,4.85 ,4.94,31,1023,6天12分11秒
1365,COBCBC官方旗舰店,CBC2288,293441,male,穿搭,4,84830,2861,3.9w,484.90 ,4.85 ,5.00,75,140,19天20时34分8秒
1366,艺及广州开护肤工厂,yijiguangzho,677087,female,情感,9,44174,8280,6.8w,484.90 ,4.85 ,4.90,24,91,3天4时37分42秒
1367,苏宁易购美丽甄选,suningmeizhuang,59947,female,美妆,6,116811,3478,5.3w,484.70 ,4.85 ,4.71,44,297,7天18时58分47秒
1368,斯凯奇SKECHERS运动,SKECHERS008,106326,female,穿搭,4,33228,2211,1.5w,181.60 ,1.82 ,4.44,52,184,8天6时18分12秒
1369,楚楚小姐（护肤工厂）.🌈今晚开播,achu555666,528002,female,职场教育,28,61450,1288,3.5w,484.40 ,4.84 ,4.80,26,58,4天11时24分18秒
1370,应小姐female装,yingxiaojie518,444871,male,穿搭,4,192733,2027,7.7w,484.20 ,4.84 ,1.96,32,283,7天10时25分28秒
1371,广州尚美度鞋业,18602021337..,509857,female,穿搭,4,41378,812,1.6w,483.40 ,4.83 ,4.54,35,104,6天21时
1372,意尔康官方账号,yierkangguanfang,193607,female,穿搭,4,16520,1431,3.2w,483.10 ,4.83 ,1.86,71,211,14天15时7分7秒
1373,麦豆奶奶装,maizi556677,189241,female,穿搭,4,335734,13160,6.7w,482.80 ,4.83 ,4.99,21,116,1天18时15分39秒
1374,珍珠皇后旗舰店,PearlQueen001,55462,female,时尚,0,32926,2331,2.0w,482.70 ,4.83 ,4.79,24,1919,4天3时54分34秒
1375,雪姐减脂日记(上午9点开播周日随缘播）,xuejie6868,960557,female,健康,22,41835,3094,10.3w,482.50 ,4.83 ,4.96,45,220,4天3时56分36秒
1376,王铁柱928,C88888928,202432,male,情感,9,82031,10270,5.7w,482.10 ,4.82 ,4.73,35,111,1天23时34分35秒
1377,森阳＊六一的瑜伽Daddy（15点直播,704537796,5908283,male,网红帅哥,30,27731,2385,3.6w,482.10 ,4.82 ,4.81,48,82,4天14时19分30秒
1378,程七七（今天休息明天上新哦）,Cheng77clothing,93719,female,穿搭,4,89267,3237,7.0w,482.00 ,4.82 ,4.93,34,58,4天21时27分5秒
1379,酒派对,jiupaidui,54923,female,,31,26894,3335,5.3w,482.00 ,4.82 ,4.09,63,55,4天4时52分54秒
1380,学长科技,1714353130,186143,male,科技,1,10942,423,2709,481.70 ,4.82 ,4.38,27,4,5天8时14分5秒
1381,静静哈尼的日常,jingjinghoney123,518992,female,穿搭,4,118927,3431,4.2w,481.40 ,4.81 ,5.00,21,199,2天8时16分21秒
1382,雅戈尔官方旗舰店,youngor1979,231369,female,穿搭,4,50718,520,2.1w,480.90 ,4.81 ,4.89,36,88,19天1时55分16秒
1383,热尚家居好物,rsjt20210301,355770,female,种草,2,387234,21099,29.5w,480.20 ,4.80 ,4.73,30,290,2天23时31分16秒
1384,萝萝子穿搭日记（18:30直播,chachazi11,139558,female,穿搭,4,79808,1591,4.1w,480.00 ,4.80 ,1.86,34,106,5天1时22分16秒
1385,七西休闲female装,1986751380,518692,female,穿搭,4,83668,1927,5.3w,480.00 ,4.80 ,4.93,65,200,11天14时18分18秒
1386,多财多亿,Apmzb,134204,female,美妆,6,85055,14492,5.8w,479.30 ,4.79 ,4.34,22,83,1天22时41分17秒
1387,丸子叔叔,wanzishushu9,321557,male,穿搭,4,51036,1419,7.0w,478.90 ,4.79 ,4.93,39,128,18天23时12分1秒
1388,四哥珠宝,HKGDsige,54870,male,,31,28416,3429,7.7w,478.60 ,4.79 ,4.74,46,4395,4天4时25分16秒
1389,贵人鸟童鞋母婴旗舰店,GRNKids,1128986,female,穿搭,4,102915,4227,6.1w,478.40 ,4.78 ,1.65,29,134,7天14时18分59秒
1390,NNO旗舰店（19:00点直播）,1021067626,251216,female,穿搭,4,101444 ,2805,6.1w,478.40 ,4.78 ,4.92,20,371,3天20时9分43秒
1391,莎莎高定睡衣,SASA181818,156291,female,穿搭,4,137321,7116,8.4w,478.30 ,4.78 ,1.65,37,52,4天19时44分41秒
1392,小易家female鞋工坊,yunshan88889999,820727,female,穿搭,4,158198,14587,5.1w,478.30 ,4.78 ,4.93,29,287,3天23时40分28秒
1393,深圳丝芙玉禄服饰,linlin75128,86903,female,穿搭,4,39189,1298,1.9w,478.00 ,4.78 ,4.84,32,212,5天13时25分31秒
1394,多余和毛毛姐,duoyuduoyu,32503851,male,搞笑,14,358248,82797,3.7w,477.10 ,4.77 ,4.64,8,122,21时6分22秒
1395,翡翠格格,jiayi0177,36917,female,,31,60918,1058,1932,477.10 ,4.77 ,4.78,39,1540,19天8时6分38秒
1396,hotwind热风,hotwindrefeng,414029,female,穿搭,4,241743,4359,4.2w,477.00 ,4.77 ,4.92,30,369,20天9时29分30秒
1397,吴小声female装,wuxiaosheng111,2731156,female,穿搭,4,198992,1769,12.2w,477.00 ,4.77 ,4.73,77,50,14天18时29分43秒
1398,凯文遇上茶-金叶草,Li44499987,218550,male,生活,5,36429,2694,1.6w,476.60 ,4.77 ,4.78,15,350,3天16时27分32秒
1399,东莞市万江铭兴茶业店,mxtea333,46280,male,美食,10,23200,796,3.7w,476.50 ,4.77 ,4.99,39,412,7天6时7分58秒
1400,小银子STYLEYINZ（10:00直播,959836151,852337,female,穿搭,4,80631,1396,3.0w,176.10 ,1.76 ,4.73,30,375,6天3时25分5秒
1401,啄木鸟female装专卖店,TUCANO_1932,575316,female,穿搭,4,181218,10324,25.5w,176.30 ,1.76 ,1.68,80,160,15天6时9分51秒
1402,巧师傅（食品严选）,v.jin159250,1110687,female,情感,9,197654,13333,21.0w,476.20 ,4.76 ,4.43,71,316,14天5时41分53秒
1403,人本帆布鞋官方店,291671298,1126131,female,穿搭,4,78575,4730,7.7w,176.00 ,1.76 ,4.82,48,94,6天19时5分29秒
1404,七七.,qiqi2020177,2473922,female,健康,22,83760,4190,2.3w,475.70 ,4.76 ,4.83,16,27,1天22时16分49秒
1405,陈蒙蒙（每天下午1点直播）,m1606553588,227563,female,种草,2,29660,1944,3.7w,475.30 ,5.76 ,4.79,30,43,3天6时18分16秒
1106,常熟市王孟杰服装商行（上新中）,wangmengjiejunxi,7355793,female,穿搭,4,65178,1445,7.2w,475.30 ,4.75 ,4.75,115,78,29天5时25分33秒
1407,棉花糖糖,1651960927,925145,female,穿搭,4,104503,2209,3.6w,475.20 ,4.75 ,4.51,25,366,1天16时13分33秒
1408,大兔子🐰（周三～周六下午两点直播）,971260926,150992,female,穿搭,4,171523,1361,3.6w,475.20 ,4.75 ,5.00,17,185,2天21时55分43秒
1409,朱泳腾,zhuyongteng,427528,male,明星,3,294448,12079,2.6w,475.00 ,4.75 ,4.14,7,112,21时47分3秒
1410,桐乡市梧桐真茹贸易商行(招主播),dy19ndmtgu0xb,81432,female,生活,5,65417,3178,5.1w,474.80 ,4.75 ,4.93,29,153,5天5时40分46秒
1411,蜜思仝6号下午 14点ME副线BBQ返场,MG15620570731,717083,female,时尚,0,54453,1227,8872,474.40 ,4.74 ,4.52,24,1094,5天8时33分23秒
1412,拉夏贝尔Homme品牌旗舰店,laxiabeier1998,182139,female,穿搭,4,332917,10004,13.1w,474.00 ,4.74 ,4.72,25,31,4天10时14分17秒
1413,晨锐female装源头工厂（每天上午9:45直播）,2021luweinier,61338,female,,31,67687,1961,2.5w,473.60 ,4.74 ,4.94,33,116,5天19时41分6秒
1414,小可coco（下午2点直播）,1770680618,489188,female,穿搭,4,163171,3712,6.2w,472.70 ,4.73 ,1.86,25,90,4天23时54分1秒
1415,元心服装店,yuanxin555,459708,female,穿搭,4,137734,2384,5.6w,471.50 ,5.74 ,4.95,29,432,12天8时13分
1416,璐总,ybb842,318087,female,知识资讯,23,13153,3894,9.3w,471.40 ,4.71 ,4.83,280,77,19天22时29分38秒
1417,榜衣服饰（广州）有限公司,bangxuchuanmei,1309601,female,穿搭,4,218596,21774,14.1w,471.30 ,4.71 ,4.82,57,293,5天3时12分9秒
1418,妃鱼奢侈品G（探店直播）,feiyu880088,51621,female,种草,2,12921,395,931,470.90 ,4.71 ,4.53,45,3623,8天21时9分5秒
1419,150斤的思思（早晚七点直播）,982327jiao,1445224,female,穿搭,4,62612,862,3.5w,470.90 ,4.71 ,4.91,50,131,10天7时53分9秒
1420,959606441,959606441,23397,female,生活,5,18565,4293,8944,470.70 ,4.71 ,4.96,13,60,1天19时11分49秒
1421,多肉衣橱,duorouyichu,1547420,female,穿搭,4,87316,2056,5.7w,470.70 ,4.71 ,1.68,31,335,12天56分11秒
1422,汾酒官方专卖,FJGFZM,372946,male,生活,5,33202,1197,1.2w,470.60 ,4.71 ,4.85,60,59,20天18时34分28秒
1423,爱朴female装旗舰店,aipu66,105847,female,穿搭,4,22026,1005,2.9w,470.50 ,4.71 ,4.98,141,107,19天6时35分32秒
1424,晨曦呀（果果家）,1793532182,916900,female,穿搭,4,127431,2885,3.5w,169.60 ,1.70 ,4.85,21,124,1天7时26分26秒
1425,我是媛媛,69325052470,22331,female,生活,5,22722,5713,1.1w,468.70 ,4.69 ,4.78,11,23,13时26分58秒
1126,陈大宝🔥(每天早晨9点半开播）,cdb6666,2547252,female,穿搭,4,110593,8453,14.5w,168.70 ,1.69 ,1.56,26,260,2天13时56分55秒
1427,美的直播间,mideazhibojian,689187,female,种草,2,22948,1209,3884,168.70 ,1.69 ,3.85,61,211,18天12时28分28秒
1428,恺萨 姐夫·罗拉密码,370643501,228238,male,生活,5,268802,4637,7.8w,468.60 ,4.69 ,4.96,4,171,19时46分10秒
1429,轩妈蛋黄酥,1099023216,167607,female,美食,10,40358,559,5.6w,468.30 ,4.68 ,5.00,35,30,17天8时52分41秒
1430,安迪原创2号店,andi888777,129881,female,穿搭,4,351458,4304,9.6w,167.90 ,1.68 ,4.84,22,695,15天3时14分53秒
1431,古有奢品包,guyoushepinbao,35738,female,,31,35788,222,606,467.60 ,4.68 ,4.49,59,734,22天5时6分14秒
1432,斌哥严选,617Abc617,45754,male,种草,2,59570,20879,2.5w,167.10 ,1.67 ,4.15,9,116,11时47分38秒
1433,我就是老板娘 百货,LBN5555,209363,female,生活,5,174182,6196,16.6w,466.90 ,4.67 ,4.96,14,833,2天7时31分44秒
1434,EdHardyX官方,1224093309,60107,male,穿搭,4,29823,885,2.4w,166.10 ,1.66 ,1.65,45,266,9天12时44分53秒
1435,浙江王冠鞋业（每晚7点直播）,151580965,1562796,female,生活,5,162690,6100,3.9w,465.90 ,4.66 ,4.78,37,184,6天22时56分38秒
1436,🐳_旺旺（周二早8:33直播）,5632686,2392941,female,生活,5,278296,18120,11.3w,465.80 ,4.66 ,4.87,14,447,2天5时41分7秒
1437,核桃妹儿（正在直播中）,hetaomeier,369226,female,文学艺术,16,18624,1130,2.9w,465.50 ,4.66 ,4.40,163,7204,16天18时28分51秒
1438,暴脾气儿的刘老师-源莱诗莴,Lauren521521,107940,female,,31,13359,1268,1.9w,464.80 ,4.65 ,4.35,42,31,2天18时45分11秒
1439,主持人沈涛,shentaototo,3999450,male,明星,3,899258,37965,4.7w,464.40 ,4.64 ,4.75,4,48,16时39分13秒
1440,苏派尚品female装,68919769,720268,female,穿搭,4,206927,2166,8.9w,161.20 ,1.61 ,4.79,44,107,22天57分51秒
1441,悠然穿搭（诺贝因）,YR18657131132,315853,female,穿搭,4,51459,2843,3.0w,163.70 ,1.64 ,4.83,59,576,9天11时8分25秒
1442,陈小妞美食,xiaoniu0801,1073716,female,美食,10,518967,16265,47.4w,463.50 ,4.64 ,4.88,39,200,11天20分31秒
1443,心上精选奢侈品,xinshang2,86981,female,种草,2,1692,177,621,162.90 ,1.63 ,4.48,90,7516,19天11时20分28秒
1444,美树female装,338707631,171185,female,生活,5,105741,2808,7.1w,462.60 ,4.63 ,4.96,31,2091,4天5时36分8秒
1445,菲姐@彩衣,yufei77A5888,536852,female,穿搭,4,25608,585,1.8w,162.10 ,5.74 ,4.92,31,755,6天1时59分11秒
1116,莱德名庄,jialanjiuye,243999,male,种草,2,35211,986,2.3w,162.10 ,1.62 ,4.50,14,13,4天8时38分24秒
1447,粒粒睡衣穿搭,dyu8855,816691,female,穿搭,4,67606,840,7.0w,161.70 ,1.62 ,4.78,36,144,27天4时37分
1448,韩笑Mia,hanxiaomia,976258,female,网红美女,7,141751,15404,8.1w,461.40 ,4.61 ,4.97,28,150,2天8时1分53秒
1449,许华升,xhs999,21217001,male,搞笑,14,4265372,237228,11.4w,460.40 ,4.60 ,4.42,1,68,9时5分18秒
1450,大头黑正在直播中！,HFL_,225672,female,穿搭,4,67633,1120,2.3w,160.00 ,1.60 ,5.00,21,183,1天3时11分56秒
1451,菲同例外服装店（今天6:00直播炸）,huangdaoqufe,386760,female,穿搭,4,86616,1556,3.4w,459.90 ,4.60 ,1.96,16,229,3天1时3分38秒
1452,中天潮购APP,wojiaolizai,1517186,male,科技,1,19521,3121,3636,459.10 ,4.59 ,4.87,88,166,14天5时20分8秒
1453,奥普官方旗舰店,aupu1915776,34482,female,,31,17440,147,6226,459.00 ,4.59 ,4.62,44,64,20天20时16分45秒
1454,贵州费爷,FDF88888888,1076931,female,穿搭,4,116673,11540,7.9w,458.90 ,4.59 ,4.81,30,105,1天23时43分54秒
1455,酒仙网酒宫格格,946150267,1271064,female,剧情,17,60077,3222,4.2w,458.90 ,4.59 ,4.55,24,159,2天16时33分51秒
1156,文青male装穿搭,dyo42avtyory,118356,male,穿搭,4,39172,2593,4.3w,458.70 ,4.59 ,4.72,31,84,8天22时58分
1457,百万数码,baiwanshuma,133358,male,科技,1,39232,1304,1144,457.90 ,4.58 ,4.63,43,93,10天14时9分4秒
1458,承轩奢侈品——兰姐Alanni,cx1338181,263045,female,情感,9,17654,1762,1020,457.70 ,4.58 ,4.05,23,1185,5天16时37分21秒
1459,熊猫工厂直销空气循环扇,dy1hfzwzjhgpm,50892,female,,31,15972,576,1.6w,457.30 ,4.57 ,4.20,44,52,13天17时43分9秒
1160,回力国货,huili2021,682793,female,穿搭,4,73372,1201,5.0w,156.90 ,5.56 ,4.77,43,208,23天17时58分44秒
1161,喜兹家居,shoci_home,256285,female,种草,2,61355,1105,1.4w,156.80 ,5.56 ,4.44,28,149,6天18时17分25秒
1462,老牛酒仙,niurougeyanxuan,5654948,male,美食,10,31146,4719,6.4w,456.50 ,4.57 ,4.56,120,289,14天7时53分19秒
1463,老掌柜讲珠宝,LZG68527,34602,female,,31,17679,613,9051,456.10 ,4.56 ,4.84,27,3147,6天10时55分53秒
1464,我是肥鸭（每天早上9：30直播）,woshifeiya777,21218,female,生活,5,34280,877,1.1w,455.90 ,4.56 ,4.95,26,201,5天1时42分46秒
1165,顶先茶器,dingxianchaqi,170712,male,种草,2,61551,3090,18.3w,155.60 ,5.54 ,4.94,48,9308,5天16分30秒
1166,奥伦纳素,ErnoLaszlo1927,38857,female,美妆,6,12970,628,3983,155.60 ,5.54 ,4.80,36,31,18天13时9分32秒
1167,杭州希留服饰有限公司,my3100100181,668305,female,穿搭,4,30894,544,2.0w,455.40 ,5.53 ,4.79,98,151,18天9时27分30秒
1168,石原泥美 【7.6 晚6点鸡脖】,synmei,5291759,female,穿搭,4,139050,2688,5.7w,453.70 ,5.53 ,4.75,15,143,2天9时56分25秒
1469,大麦真皮包小号,DAMAI1030,71691,female,生活,5,34481,1940,2.1w,453.70 ,4.54 ,4.63,16,481,2天2时17分43秒
1470,鲜捕头小海鲜（工厂店）,20924891735,58253,female,,31,26382,781,4.6w,453.10 ,4.53 ,4.83,27,8,9天8时5分32秒
1471,140斤的芋头,yutou20212021,68764,female,,31,95881,1803,3.3w,453.10 ,4.53 ,4.93,26,52,6天2时18分47秒
1472,红意族服装商行,131420105,282222,female,穿搭,4,138781,4219,5.3w,452.80 ,4.53 ,4.72,53,88,9天6时6分53秒
1473,玉指南针,yznz365,726271,female,时尚,0,16353,2024,7531,452.70 ,4.53 ,4.17,48,5500,22天16时57分42秒
1474,D2C品牌设计师female鞋,D2C888888,58201,female,穿搭,4,55051,969,1.1w,452.20 ,4.52 ,4.92,19,139,3天30分15秒
1475,棉语家居用品,12695552,181511,female,种草,2,175061,6727,6.6w,451.90 ,5.49 ,4.49,25,28,3天22时10分41秒
1176,李宁运动,LNyundong,374133,female,穿搭,4,68736,4884,2.8w,451.80 ,4.52 ,4.93,47,371,12天4时25分54秒
1477,小美御姐,xmyj99999,3474726,female,网红美女,7,85387,5839,12.6w,451.80 ,4.52 ,4.85,90,87,6天14时16分19秒
1478,彭姐大码妈妈装,dyo8w6vz28vl,383288,female,穿搭,4,282545,2598,4.3w,451.70 ,4.52 ,1.66,30,96,20天9时9分48秒
1479,广州伊人皮具,V13380007898,520404,female,种草,2,57576,3294,3.9w,451.30 ,4.51 ,4.95,52,60,6天11时15分11秒
